datetime,location,count_operation,count_change,count_total
4/8/17 9:15,Georgetown,+,1,12
4/8/17 9:15,Georgetown,+,1,13
4/8/17 9:15,Georgetown,+,1,14
4/8/17 9:15,Georgetown,+,1,15
4/8/17 9:15,Georgetown,+,1,16
4/8/17 9:15,Georgetown,+,1,17
4/8/17 9:15,Georgetown,+,1,18
4/8/17 9:15,Georgetown,+,1,19
4/8/17 9:15,Georgetown,+,1,20
4/8/17 9:15,Georgetown,+,1,21
4/8/17 9:15,Georgetown,+,1,22
4/8/17 9:15,Georgetown,+,1,23
4/8/17 9:15,Georgetown,+,1,24
4/8/17 9:15,Georgetown,+,1,25
4/8/17 9:15,Georgetown,+,1,26
4/8/17 9:15,Georgetown,+,1,27
4/8/17 9:15,Georgetown,+,1,28
4/8/17 9:15,Georgetown,+,1,29
4/8/17 9:16,Georgetown,+,1,30
4/8/17 9:16,Georgetown,+,1,31
4/8/17 10:01,Georgetown,-,1,30
4/8/17 10:01,Georgetown,-,1,29
4/8/17 10:01,Georgetown,-,1,28
4/8/17 10:01,Georgetown,-,1,27
4/8/17 10:01,Georgetown,-,1,26
4/8/17 10:02,Georgetown,-,1,25
4/8/17 10:02,Georgetown,-,1,24
4/8/17 10:02,Georgetown,-,1,23
4/8/17 10:02,Georgetown,-,1,22
4/8/17 10:02,Georgetown,-,1,21
4/8/17 10:02,Georgetown,-,1,20
4/8/17 10:02,Georgetown,-,1,19
4/8/17 10:02,Georgetown,-,1,18
4/8/17 10:02,Georgetown,-,1,17
4/8/17 10:03,Georgetown,-,1,16
4/8/17 10:03,Georgetown,-,1,15
4/8/17 10:03,Georgetown,-,1,14
4/8/17 10:03,Georgetown,-,1,13
4/8/17 10:04,Georgetown,-,1,12
4/8/17 10:04,Georgetown,-,1,11
4/8/17 10:04,Georgetown,-,1,10
4/8/17 10:04,Georgetown,+,1,11
4/8/17 10:05,Georgetown,+,1,12
4/8/17 10:05,Georgetown,+,1,13
4/8/17 10:05,Georgetown,+,1,14
4/8/17 10:05,Georgetown,+,1,15
4/8/17 10:05,Georgetown,+,1,16
4/8/17 10:06,Georgetown,+,1,17
4/8/17 10:06,Georgetown,+,1,18
4/8/17 10:06,Georgetown,+,1,19
4/8/17 10:06,Georgetown,+,1,20
4/8/17 10:06,Georgetown,+,1,21
4/8/17 10:06,Georgetown,+,1,22
4/8/17 10:07,Georgetown,+,1,23
4/8/17 10:07,Georgetown,+,1,24
4/8/17 10:07,Georgetown,+,1,25
4/8/17 10:07,Georgetown,+,1,26
4/8/17 10:09,Georgetown,+,1,27
4/8/17 10:09,Georgetown,+,1,28
4/8/17 10:09,Georgetown,+,1,29
4/8/17 10:09,Georgetown,+,1,30
