datetime,temp,humidity,light,bluetooth_devices,bluetooth_non_personal_devices
3/11/2017 11:07,23.1,18.3,428,100,
3/11/2017 11:07,23.1,18.4,449,100,
3/11/2017 11:07,23.1,18.4,463,100,
3/11/2017 11:07,23.1,18.4,452,100,
3/11/2017 11:07,23.1,18.4,444,100,
3/11/2017 11:07,23.1,18.5,912,100,
3/11/2017 11:07,23.1,18.3,455,100,
3/11/2017 11:07,23.1,18.3,445,100,
3/11/2017 11:08,23.1,18.3,463,100,
3/11/2017 11:08,23.1,18.3,444,100,
3/11/2017 11:08,23.1,18.4,468,100,
3/11/2017 11:08,23.1,18.3,455,100,
3/11/2017 11:08,23.1,18.2,887,100,
3/11/2017 11:08,23.1,18.1,440,100,
3/11/2017 11:08,23.1,18.2,463,100,
3/11/2017 11:08,23.1,18.3,453,100,
3/11/2017 11:08,23.1,18.3,453,100,
3/11/2017 11:08,23.1,18.3,463,100,
3/11/2017 11:08,23.1,18.4,443,100,
3/11/2017 11:09,23.1,18.3,938,100,
3/11/2017 11:09,23.1,18.2,817,100,
3/11/2017 11:09,23.1,18.2,432,100,
3/11/2017 11:09,23.1,18.3,467,100,
3/11/2017 11:09,23.1,18.4,474,100,
3/11/2017 11:09,23.1,18.3,467,100,
3/11/2017 11:09,23.1,18.3,941,100,
3/11/2017 11:09,23.1,18.3,449,100,
3/11/2017 11:09,23.1,18.3,468,100,
3/11/2017 11:09,23.1,18.3,475,100,
3/11/2017 11:10,23.1,18.3,453,100,
3/11/2017 11:10,23.1,18.3,470,101,
3/11/2017 11:10,23.1,18.3,437,101,
3/11/2017 11:10,23.1,18.3,925,101,
3/11/2017 11:10,23.1,18.3,453,101,
3/11/2017 11:10,23.1,18.4,472,101,
3/11/2017 11:10,23.1,18.3,457,101,
3/11/2017 11:10,23.1,18.3,456,101,
3/11/2017 11:10,23.1,18.3,440,101,
3/11/2017 11:10,23.1,18.3,941,101,
3/11/2017 11:11,23.1,18.2,447,101,
3/11/2017 11:11,23.1,18.3,450,101,
3/11/2017 11:11,23.1,18.4,472,101,
3/11/2017 11:11,23.1,18.3,447,101,
3/11/2017 11:11,23.1,18.3,429,101,
3/11/2017 11:11,23.1,18.3,472,101,
3/11/2017 11:11,23.1,18.5,472,101,
3/11/2017 11:11,23.1,18.3,465,101,
3/11/2017 11:11,23.1,18.4,459,101,
3/11/2017 11:11,23.1,18.4,462,101,
3/11/2017 11:12,23.1,18.4,920,101,
3/11/2017 11:12,23.1,18.2,460,101,
3/11/2017 11:12,23.1,18.3,431,101,
3/11/2017 11:12,23.1,18.3,469,101,
3/11/2017 11:12,23.1,18.3,462,101,
3/11/2017 11:12,23.1,18.3,423,101,
3/11/2017 11:12,23.1,18.3,467,101,
3/11/2017 11:12,23.1,18.3,468,101,
3/11/2017 11:12,23.1,18.3,468,101,
3/11/2017 11:12,23.1,18.5,468,101,
3/11/2017 11:12,23.1,18.4,903,101,
3/11/2017 11:13,23.1,18.3,913,101,
3/11/2017 11:13,23.1,18.3,467,101,
3/11/2017 11:13,23.1,18.4,471,101,
3/11/2017 11:13,23.1,18.3,454,101,
3/11/2017 11:13,23.1,18.4,477,101,
3/11/2017 11:13,23.1,18.4,925,101,
3/11/2017 11:13,23.1,18.3,433,101,
3/11/2017 11:13,23.1,18.4,476,101,
3/11/2017 11:13,23.1,18.3,464,101,
3/11/2017 11:13,23.1,18.3,911,101,
3/11/2017 11:14,23.1,18.4,472,101,
3/11/2017 11:14,23.1,18.3,467,101,
3/11/2017 11:14,23.1,18.3,920,102,
3/11/2017 11:14,23.1,18.2,481,102,
3/11/2017 11:14,23.1,18.3,470,102,
3/11/2017 11:14,23.1,18.4,460,102,
3/11/2017 11:14,23.1,18.4,478,102,
3/11/2017 11:14,23.1,18.4,475,102,
3/11/2017 11:14,23.1,18.3,465,102,
3/11/2017 11:14,23.1,18.3,969,103,
3/11/2017 11:15,23.1,18.2,491,103,
3/11/2017 11:15,23.1,18.3,468,103,
3/11/2017 11:15,23.1,18.3,478,103,
3/11/2017 11:15,23.1,18.3,473,103,
3/11/2017 11:15,23.1,18.2,459,105,
3/11/2017 11:15,23.1,18.3,456,105,
3/11/2017 11:15,23.1,18.3,479,105,
3/11/2017 11:15,23.1,18.4,459,105,
3/11/2017 11:15,23.1,18.3,479,105,
3/11/2017 11:15,23.1,18.5,481,105,
3/11/2017 11:16,23.1,18.6,457,105,
3/11/2017 11:16,23.1,18.5,472,105,
3/11/2017 11:16,23.1,18.5,478,105,
3/11/2017 11:16,23.1,18.4,915,105,
3/11/2017 11:16,23.1,18.2,476,105,
3/11/2017 11:16,23.1,18.3,471,105,
3/11/2017 11:16,23.1,18.3,471,105,
3/11/2017 11:16,23.1,18.4,480,105,
3/11/2017 11:16,23.1,18.4,481,105,
3/11/2017 11:16,23.1,18.3,954,105,
3/11/2017 11:17,23.1,18.3,956,105,
3/11/2017 11:17,23.1,18.3,476,105,
3/11/2017 11:17,23.1,18.4,454,105,
3/11/2017 11:17,23.1,18.3,441,105,
3/11/2017 11:17,23.1,18.3,471,105,
3/11/2017 11:17,23.1,18.3,460,105,
3/11/2017 11:17,23.1,18.3,477,105,
3/11/2017 11:17,23.1,18.2,482,105,
3/11/2017 11:17,23.1,18.3,479,105,
3/11/2017 11:17,23.1,18.3,483,105,
3/11/2017 11:18,23.1,18.4,470,106,
3/11/2017 11:18,23.1,18.4,455,107,
3/11/2017 11:18,23.1,18.4,961,107,
3/11/2017 11:18,23.1,18.4,472,107,
3/11/2017 11:18,23.1,18.5,468,107,
3/11/2017 11:18,23.1,18.5,452,107,
3/11/2017 11:18,23.1,18.5,474,107,
3/11/2017 11:18,23.1,18.7,463,107,
3/11/2017 11:18,23.1,18.7,946,108,
3/11/2017 11:18,23.1,18.6,475,108,
3/11/2017 11:19,23.1,18.5,459,108,
3/11/2017 11:19,23.1,18.5,482,108,
3/11/2017 11:19,23.1,18.4,469,108,
3/11/2017 11:19,23.1,18.4,928,108,
3/11/2017 11:19,23.1,18.3,976,108,
3/11/2017 11:19,23.1,18.2,934,109,
3/11/2017 11:19,23.1,18.3,458,109,
3/11/2017 11:19,23.1,18.5,484,109,
3/11/2017 11:19,23.1,18.5,472,109,
3/11/2017 11:36,23.1,18.5,453,0,
3/11/2017 11:36,23.1,18.2,451,0,
3/11/2017 11:37,23.1,18.2,465,0,
3/11/2017 11:37,23.1,18.2,464,1,
3/11/2017 11:37,23.1,18.2,465,1,
3/11/2017 11:37,23.1,18.1,451,1,
3/11/2017 11:37,23.2,18.2,466,1,
3/11/2017 11:37,23.1,18.1,935,6,
3/11/2017 11:37,23.2,18.1,466,6,
